Posición,Latitud,Longitud,ASAE,Zonificación,Jurisdicción,Barrio - Comuna,Tipo vivienda,Ubicación Sistema ,Piso,Fecha
1,"34°36'17.36""S","58°25'48.70""W",2,R2a II,CABA,Almagro - Comuna 5,Casa,Terraza,-,Navidad
2,"34°36'9.02""S","58°26'40.49""W",2,R2b I,CABA,Villa Crespo - Comuna 15,Departamento,Balcón,8,Navidad
3,"34°36'18.83""S","58°27'11.23""W",3,C3 II,CABA,Villa Crespo - Comuna 15,Departamento,Terraza,9,Navidad
4,"34°34'4.34""S","58°29'45.20""W",2,R2b I,CABA,Villa Urquiza - Comuna 12,Casa,Terraza,-,Navidad
5,"34°35'4.56""S","58°29'29.17""W",2,R2b II,CABA,Villa Pueyrredón - Comuna 12,Casa,Terraza,-,Navidad
6,"34°36'33.77""S","58°30'32.16""W",2,R2b I,CABA,Villa Devoto - Comuna 11,Casa,Terraza,-,Navidad
7,"34°37'10.58""S","58°31'3.86""W",2,R2b II,CABA,Villa Real - Comuna 10,Casa,Terraza,-,Navidad
8,"34°37'7.47""S","58°30'6.21""W",3,C3 II,CABA,Monte Castro - Comuna 10,Departamento,Balcón,3,Navidad
9,"34°37'16.41""S","58°29'26.28""W",2,R2b II,CABA,Floresta - Comuna 10,Casa,Terraza,-,Navidad
10,"34°39'40.50""S","58°32'8.29""W",-,-,Provincia de Buenos Aires,Lomas del Mirador,Casa,Balcón,-,Navidad
11,"34°35'34.66""S ","58°40'13.90""W",-,-,Provincia de Buenos Aires,William C. Morris,Casa,Patio trasero,,Navidad
12,"34°38'31.78""S ","58°35'34.68""W",-,-,Provincia de Buenos Aires,Haedo,Casa,Patio trasero,,Navidad
1,"34°36'17.36""S","58°25'48.70""W",2,R2a II,CABA,Almagro - Comuna 5,Casa,Terraza,-,Año Nuevo
2,"34°36'9.02""S","58°26'40.49""W",2,R2b I,CABA,Villa Crespo - Comuna 15,Departamento,Balcón,8,Año Nuevo
3,"34°36'18.83""S","58°27'11.23""W",3,C3 II,CABA,Villa Crespo - Comuna 15,Departamento,Terraza,9,Año Nuevo
4,"34°36'31.49""S","58°26'24.00""W",3,C3 II,CABA,Caballito - Comuna 6,Departamento,Balcón,8,Año Nuevo
5,"34°35'14.05""S","58°26'38.72""W",2,R2b I,CABA,Chacarita - Comuna 15,Casa,Terraza,-,Año Nuevo
6,"34°34'33.44""S","58°26'59.83""W",2,R2b I,CABA,Colegiales - Comuna 13,Departamento,Balcón,2,Año Nuevo
7,"34°36'33.77""S","58°30'32.16""W",2,R2b II,CABA,Villa Devoto - Comuna 11,Casa,Terraza,-,Año Nuevo
8,"34°37'10.58""S","58°31'3.86""W",3,R2b II,CABA,Villa Real - Comuna 10,Casa,Terraza,-,Año Nuevo
9,"34°37'7.47""S","58°30'6.21""W",3,C3 II,CABA,Monte Castro - Comuna 10,Departamento,Balcón,3,Año Nuevo
10,"34°37'3.13""S","58°26'52.51""W",2,R2a II,CABA,Caballito - Comuna 6,Departamento,Balcón,15,Año Nuevo
11,"34°36'45.36""S","58°38'9.33""W",-,-,Provincia de Buenos Aires,Villa Tesei,Casa,Patio trasero,-,Año Nuevo
12,"34°38'31.78""S","58°35'34.68""W",-,-,Provincia de Buenos Aires,Haedo,Casa,Patio trasero,,Año Nuevo
